title,genres,keywords,cast,crew,budget,revenue,popularity,vote_average,vote_count,overview,main_genre,profit,roi,tags
The Prince of Egypt,"['Adventure', 'Animation', 'Drama', 'Family', 'Music']","['moses', 'egypt', 'pyramid', 'exodus', 'kingdom', 'governance', 'ancient egypt', 'hebrew', 'pharaoh', 'woman director']","['Val Kilmer', 'Ralph Fiennes', 'Patrick Stewart']",['Simon Wells'],70000000,218613188,29.464852,6.8,817,"This is the extraordinary tale of two brothers named Moses and Ramses, one born of royal blood, and one an orphan with a secret past. Growing up the best of friends, they share a strong bond of free-spirited youth and good-natured rivalry. But the truth will ultimately set them at odds, as one becomes the ruler of the most powerful empire on earth, and the other the chosen leader of his people! Their final confrontation will forever change their lives and the world.",Adventure,148613188,2.1230455428571426,Adventure Animation Drama Family Music moses egypt pyramid exodus kingdom governance ancient egypt hebrew pharaoh woman director Val Kilmer Ralph Fiennes Patrick Stewart Simon Wells
Daddy Day Care,"['Comedy', 'Family']","['competition', 'success', 'kindergarten', 'children', 'unemployment']","['Eddie Murphy', 'Jeff Garlin', 'Steve Zahn']",['Steve Carr'],60000000,164433867,18.106021,5.6,506,"Two men get laid off and have to become stay-at-home dads when they can't find jobs, which inspires them to open their own day-care center.",Comedy,104433867,1.74056445,Comedy Family competition success kindergarten children unemployment Eddie Murphy Jeff Garlin Steve Zahn Steve Carr
2 Guns,"['Action', 'Comedy', 'Crime']","['undercover', 'undercover agent', 'based on comic book', 'money', 'fugitive', 'bank robbery', 'dea agent']","['Denzel Washington', 'Mark Wahlberg', 'Paula Patton']",['Baltasar Kormákur'],61000000,131940411,42.881415,6.6,1589,A DEA agent and an undercover Naval Intelligence officer who have been tasked with investigating one another find they have been set up by the mob -- the very organization the two men believe they have been stealing money from.,Action,70940411,1.1629575573770492,Action Comedy Crime undercover undercover agent based on comic book money fugitive bank robbery dea agent Denzel Washington Mark Wahlberg Paula Patton Baltasar Kormákur
Cats & Dogs,"['Comedy', 'Family']","['fight', 'governance', 'puppy', 'allergy', '3d']","['Jeff Goldblum', 'Elizabeth Perkins', 'Alexander Pollock']",['Lawrence Guterman'],60000000,93375151,18.735024,5.0,352,"When a professor develops a vaccine that eliminates human allergies to dogs, he unwittingly upsets the fragile balance of power between cats and dogs and touches off an epic battle for pet supremacy. The fur flies as the feline faction, led by Mr. Tinkles, squares off against wide-eyed puppy Lou and his canine cohorts.",Comedy,33375151,0.5562525166666666,Comedy Family fight governance puppy allergy 3d Jeff Goldblum Elizabeth Perkins Alexander Pollock Lawrence Guterman
The Italian Job,"['Action', 'Crime']","['venice', 'california', 'train station', 'helicopter', 'austria', 'mountains', 'gold', 'subway', 'hacker', 'chase', 'safe', 'remake', 'caper', 'revenge', 'murder', 'heist', 'double crossed', 'fast cars', 'boat chase', 'los angeles', 'explosion', 'convict', 'father daughter relationship', 'car chase', 'tv news', 'hollywood sign', 'television repair', 'mini cooper']","['Mark Wahlberg', 'Charlize Theron', 'Edward Norton']",['F. Gary Gray'],60000000,176070171,62.766854,6.6,1919,"Charlie Croker pulled off the crime of a lifetime. The one thing that he didn't plan on was being double-crossed. Along with a drop-dead gorgeous safecracker, Croker and his team take off to re-steal the loot and end up in a pulse-pounding, pedal-to-the-metal chase that careens up, down, above and below the streets of Los Angeles.",Action,116070171,1.93450285,Action Crime venice california train station helicopter austria mountains gold subway hacker chase safe remake caper revenge murder heist double crossed fast cars boat chase los angeles explosion convict father daughter relationship car chase tv news hollywood sign television repair mini cooper Mark Wahlberg Charlize Theron Edward Norton F. Gary Gray
Two Weeks Notice,"['Romance', 'Comedy']","['new york', 'parish hall', 'romantic comedy', 'lawyer', 'billionaire', 'environmental law']","['Sandra Bullock', 'Hugh Grant', 'Alicia Witt']",['Marc Lawrence'],60000000,93354918,24.153567,5.9,487,"Dedicated environmental lawyer Lucy Kelson goes to work for billionaire George Wade as part of a deal to preserve a community center. Indecisive and weak-willed George grows dependent on Lucy's guidance on everything from legal matters to clothing. Exasperated, Lucy gives notice and picks Harvard graduate June Carter as her replacement. As Lucy's time at the firm nears an end, she grows jealous of June and has second thoughts about leaving George.",Romance,33354918,0.5559153,Romance Comedy new york parish hall romantic comedy lawyer billionaire environmental law Sandra Bullock Hugh Grant Alicia Witt Marc Lawrence
Antz,"['Adventure', 'Animation', 'Comedy', 'Family']","['general', 'hero', 'worker', 'ant', 'work', 'assignment', 'war', 'princess', 'soldier', 'individuality', 'friend']","['Woody Allen', 'Dan Aykroyd', 'Anne Bancroft']",['Eric Darnell'],60000000,171757863,41.515702,6.0,1272,"In this animated hit, a neurotic worker ant in love with a rebellious princess rises to unlikely stardom when he switches places with a soldier. Signing up to march in a parade, he ends up under the command of a bloodthirsty general. But he's actually been enlisted to fight against a termite army.",Adventure,111757863,1.86263105,Adventure Animation Comedy Family general hero worker ant work assignment war princess soldier individuality friend Woody Allen Dan Aykroyd Anne Bancroft Eric Darnell
Couples Retreat,"['Comedy', 'Romance']","['island', 'married couple', 'yoga', 'tahiti', 'couples therapy', 'beautiful woman', 'tropical', 'aftercreditsstinger', 'duringcreditsstinger', 'french polynesia', 'polynésie française']","['Vince Vaughn', 'Malin Åkerman', 'Jason Bateman']",['Peter Billingsley'],70000000,171844840,26.676487,5.3,588,"Four couples, all friends, descend on a tropical island resort. Though one husband and wife are there to work on their marriage, the others just want to enjoy some fun in the sun. They soon find, however, that paradise comes at a price: Participation in couples therapy sessions is mandatory. What started out as a cut-rate vacation turns into an examination of the common problems many face.",Comedy,101844840,1.4549262857142857,Comedy Romance island married couple yoga tahiti couples therapy beautiful woman tropical aftercreditsstinger duringcreditsstinger french polynesia polynésie française Vince Vaughn Malin Åkerman Jason Bateman Peter Billingsley
Days of Thunder,['Adventure'],"['stock-car-race', 'daytona', 'car crash']","['Tom Cruise', 'Robert Duvall', 'Nicole Kidman']",['Tony Scott'],60000000,157920733,16.278022,5.9,353,"Talented but unproven stock car driver Cole Trickle gets a break and with the guidance of veteran Harry Hogge turns heads on the track. The young hotshot develops a rivalry with a fellow racer that threatens his career when the two smash their cars. But with the help of his doctor, Cole just might overcome his injuries-- and his fear.",Adventure,97920733,1.6320122166666666,Adventure stock-car-race daytona car crash Tom Cruise Robert Duvall Nicole Kidman Tony Scott
Cheaper by the Dozen 2,['Comedy'],"['holiday', 'lake', 'big family', 'father', 'labor pain', 'rivalry', 'family holiday']","['Steve Martin', 'Eugene Levy', 'Bonnie Hunt']",['Adam Shankman'],60000000,129181830,18.831023,5.7,526,"Steve Martin and Bonnie Hunt return as heads of the Baker family who, while on vacation, find themselves in competition with a rival family of eight children, headed by Eugene Levy,",Comedy,69181830,1.1530305,Comedy holiday lake big family father labor pain rivalry family holiday Steve Martin Eugene Levy Bonnie Hunt Adam Shankman
Maze Runner: The Scorch Trials,['Action'],"['based on novel', 'resistance', 'maze', 'post-apocalyptic', 'dystopia', 'infection', 'on the run', 'escape', 'zombie', 'storm', 'disease', 'desert', 'sewer', 'antidote', 'corporation', 'virus', 'runner', 'city ruin', 'immunity']","[""Dylan O'Brien"", 'Kaya Scodelario', 'Thomas Brodie-Sangster']",['Wes Ball'],61000000,311256926,113.161483,6.4,3040,"Thomas and his fellow Gladers face their greatest challenge yet: searching for clues about the mysterious and powerful organization known as WCKD. Their journey takes them to the Scorch, a desolate landscape filled with unimaginable obstacles. Teaming up with resistance fighters, the Gladers take on WCKD’s vastly superior forces and uncover its shocking plans for them all.",Action,250256926,4.102572557377049,Action based on novel resistance maze post-apocalyptic dystopia infection on the run escape zombie storm disease desert sewer antidote corporation virus runner city ruin immunity Dylan O'Brien Kaya Scodelario Thomas Brodie-Sangster Wes Ball
Eat Pray Love,['Drama'],"['indonesia', 'female protagonist', 'india', 'divorce', 'bali']","['Julia Roberts', 'James Franco', 'Javier Bardem']",['Ryan Murphy'],60000000,204594016,28.800112,5.8,636,"Liz Gilbert had everything a modern woman is supposed to dream of having – a husband, a house and a successful career – yet like so many others, she found herself lost, confused and searching for what she really wanted in life. Newly divorced and at a crossroads, Gilbert steps out of her comfort zone, risking everything to change her life, embarking on a journey around the world that becomes a quest for self-discovery. In her travels, she discovers the true pleasure of nourishment by eating in Italy, the power of prayer in India and, finally and unexpectedly, the inner peace and balance of true love in Bali.",Drama,144594016,2.4099002666666665,Drama indonesia female protagonist india divorce bali Julia Roberts James Franco Javier Bardem Ryan Murphy
RED,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']","['cia', 'retirement', 'shot to death', 'sniper rifle', 'retired', 'female spy', 'alarm']","['Bruce Willis', 'John Malkovich', 'Helen Mirren']",['Robert Schwentke'],58000000,71664962,41.430245,6.6,2808,"When his peaceful life is threatened by a high-tech assassin, former black-ops agent, Frank Moses reassembles his old team in a last ditch effort to survive and uncover his assailants.",Action,13664962,0.23560279310344828,Action Adventure Comedy Crime Thriller cia retirement shot to death sniper rifle retired female spy alarm Bruce Willis John Malkovich Helen Mirren Robert Schwentke
Any Given Sunday,['Drama'],"['american football', 'trainer', 'training', 'american football coach', 'sport', 'american football stadium']","['Al Pacino', 'Cameron Diaz', 'Dennis Quaid']",['Oliver Stone'],55000000,100230832,23.127561,6.8,422,A star quarterback gets knocked out of the game and an unknown third stringer is called in to replace him. The unknown gives a stunning performance and forces the aging coach to reevaluate his game plans and life. A new co-owner/president adds to the pressure of winning. The new owner must prove her self in a male dominated world.,Drama,45230832,0.8223787636363636,Drama american football trainer training american football coach sport american football stadium Al Pacino Cameron Diaz Dennis Quaid Oliver Stone
The Horse Whisperer,"['Drama', 'Romance']","['love triangle', 'new york', 'montana', 'attachment to nature', 'confidence', 'horseback riding', 'horse', 'riding accident', 'career woman', 'ranch', 'horse whisperer', 'trauma', 'country life', 'marriage crisis', 'crisis', 'travel', 'mother daughter relationship', 'animal', 'nature']","['Robert Redford', 'Kristin Scott Thomas', 'Sam Neill']",['Robert Redford'],60000000,186883563,12.867352,6.7,292,"Based on the novel by the same name from Nicholas Evans, the talented Robert Redford presents this meditative family drama set in the country side. Redford not only directs but also stars in the roll of a cowboy with a magical talent for healing.",Drama,126883563,2.11472605,Drama Romance love triangle new york montana attachment to nature confidence horseback riding horse riding accident career woman ranch horse whisperer trauma country life marriage crisis crisis travel mother daughter relationship animal nature Robert Redford Kristin Scott Thomas Sam Neill Robert Redford
Collateral,"['Drama', 'Crime', 'Thriller']","['california', 'taxi', 'assassin', 'hostage', 'taxi driver', 'fbi', 'hitman', 'police', 'los angeles', 'murderer', 'crime', 'criminal', 'gun violence']","['Tom Cruise', 'Jamie Foxx', 'Jada Pinkett Smith']",['Michael Mann'],65000000,217764291,44.815022,7.0,1451,Cab driver Max picks up a man who offers him $600 to drive him around. But the promise of easy money sours when Max realizes his fare is an assassin.,Drama,152764291,2.3502198615384615,Drama Crime Thriller california taxi assassin hostage taxi driver fbi hitman police los angeles murderer crime criminal gun violence Tom Cruise Jamie Foxx Jada Pinkett Smith Michael Mann
The Scorpion King,"['Action', 'Fantasy', 'Adventure']","['egypt', 'temple']","['Dwayne Johnson', 'Kelly Hu', 'Michael Clarke Duncan']",['Chuck Russell'],60000000,165333180,37.537093,5.3,779,"In ancient Egypt, peasant Mathayus is hired to exact revenge on the powerful Memnon and the sorceress Cassandra, who are ready to overtake Balthazar's village. Amid betrayals, thieves, abductions and more, Mathayus strives to bring justice to his complicated world.",Action,105333180,1.755553,Action Fantasy Adventure egypt temple Dwayne Johnson Kelly Hu Michael Clarke Duncan Chuck Russell
Ladder 49,"['Drama', 'Action', 'Thriller']","['ledge', 'practical joke']","['Joaquin Phoenix', 'John Travolta', 'Jacinda Barrett']",['Jay Russell'],60000000,74541707,10.99991,6.2,207,"Under the watchful eye of his mentor, Captain Mike Kennedy, probationary firefighter Jack Morrison matures into a seasoned veteran at a Baltimore fire station. However, Jack has reached a crossroads  as the sacrifices he's made have put him in harm's way innumerable times and significantly impacted his relationship with his wife and kids.",Drama,14541707,0.24236178333333333,Drama Action Thriller ledge practical joke Joaquin Phoenix John Travolta Jacinda Barrett Jay Russell
Jack Reacher,"['Crime', 'Drama', 'Thriller']","['based on novel', 'sniper', 'investigation', 'police', 'quarry']","['Tom Cruise', 'Rosamund Pike', 'Richard Jenkins']",['Christopher McQuarrie'],60000000,218340595,56.868399,6.3,2998,"In an innocent heartland city, five are shot dead by an expert sniper. The police quickly identify and arrest the culprit, and build a slam-dunk case. But the accused man claims he's innocent and says ""Get Jack Reacher."" Reacher himself sees the news report and turns up in the city. The defense is immensely relieved, but Reacher has come to bury the guy. Shocked at the accused's request, Reacher sets out to confirm for himself the absolute certainty of the man's guilt, but comes up with more than he bargained for.",Crime,158340595,2.6390099166666667,Crime Drama Thriller based on novel sniper investigation police quarry Tom Cruise Rosamund Pike Richard Jenkins Christopher McQuarrie
Deep Blue Sea,"['Action', 'Science Fiction', 'Thriller']","['shark attack', 'shark', ""alzheimer's disease"", 'killer shark', 'no opening credits']","['Thomas Jane', 'Saffron Burrows', 'LL Cool J']",['Renny Harlin'],60000000,73648228,22.991269,5.6,604,"On a remote former submarine refueling facility called Aquatica, a team of scientists are searching for a cure for Alzheimer's disease. Dr. Susan McAlester genetically engineers three Mako sharks, intending to increase their brain capacity so that they can harvest the tissue as a cure for Alzheimer's. Unfortunately, the increased brain capacity also makes the sharks smarter, faster, and more dangerous. Aquatica's financial backers are skeptical and nervous about the tests, and send a corporate executive to visit the facility.",Action,13648228,0.22747046666666668,Action Science Fiction Thriller shark attack shark alzheimer's disease killer shark no opening credits Thomas Jane Saffron Burrows LL Cool J Renny Harlin
Contagion,"['Drama', 'Thriller', 'Science Fiction']","['saving the world', 'mutation', 'infection', 'terminal illness', 'quarantine', 'outbreak', 'medical', 'vaccine', 'lethal virus', 'scientist', 'epidemic']","['Matt Damon', 'Gwyneth Paltrow', 'Kate Winslet']",['Steven Soderbergh'],60000000,137551594,38.820858,6.2,1325,"As an epidemic of a lethal airborne virus - that kills within days - rapidly grows, the worldwide medical community races to find a cure and control the panic that spreads faster than the virus itself.",Drama,77551594,1.2925265666666668,Drama Thriller Science Fiction saving the world mutation infection terminal illness quarantine outbreak medical vaccine lethal virus scientist epidemic Matt Damon Gwyneth Paltrow Kate Winslet Steven Soderbergh
Coraline,"['Animation', 'Family']","['dream', 'eye', 'stuffed animal', 'parallel world', 'button', 'new home', 'secret door', 'aftercreditsstinger', 'duringcreditsstinger']","['Dakota Fanning', 'Teri Hatcher', 'Jennifer Saunders']",['Henry Selick'],60000000,124596398,51.146047,7.3,1386,"When Coraline moves to an old house, she feels bored and neglected by her parents. She finds a hidden door with a bricked up passage. During the night, she crosses the passage and finds a parallel world where everybody has buttons instead of eyes, with caring parents and all her dreams coming true. When the Other Mother invites Coraline to stay in her world forever, the girl refuses and finds that the alternate reality where she is trapped is only a trick to lure her.",Animation,64596398,1.0766066333333333,Animation Family dream eye stuffed animal parallel world button new home secret door aftercreditsstinger duringcreditsstinger Dakota Fanning Teri Hatcher Jennifer Saunders Henry Selick
The Happening,"['Thriller', 'Science Fiction']","['tree', 'natural disaster', 'crisis', 'park', 'strange behavior']","['Mark Wahlberg', 'Zooey Deschanel', 'John Leguizamo']",['M. Night Shyamalan'],60000000,163403799,20.501582,4.9,950,"When a deadly airborne virus threatens to wipe out the northeastern United States, teacher Elliott Moore (Mark Wahlberg) and his wife (Zooey Deschanel) flee from contaminated cities into the countryside in a fight to discover the truth. Is it terrorism, the accidental release of some toxic military bio weapon -- or something even more sinister? John Leguizamo and Betty Buckley co-star in this thriller from writer-director M. Night Shyamalan.",Thriller,103403799,1.72339665,Thriller Science Fiction tree natural disaster crisis park strange behavior Mark Wahlberg Zooey Deschanel John Leguizamo M. Night Shyamalan
Man on Fire,"['Action', 'Drama', 'Thriller', 'Crime']","['mexico', 'cia', 'kidnapping', 'diary', 'bible', 'bodyguard', 'stuffed animal', 'cell phone', 'alcoholic', 'grenade launcher', 'bloodshed', 'swim meet']","['Denzel Washington', 'Dakota Fanning', 'Marc Anthony']",['Tony Scott'],70000000,130293714,45.299089,7.3,1553,"Jaded ex-CIA operative John Creasy reluctantly accepts a job as the bodyguard for a 10-year-old girl in Mexico City. They clash at first, but eventually bond, and when she's kidnapped he's consumed by fury and will stop at nothing to save her life.",Action,60293714,0.8613387714285714,Action Drama Thriller Crime mexico cia kidnapping diary bible bodyguard stuffed animal cell phone alcoholic grenade launcher bloodshed swim meet Denzel Washington Dakota Fanning Marc Anthony Tony Scott
The Shaggy Dog,"['Comedy', 'Family']","['father son relationship', 'parents kids relationship', 'workaholic', 'wife husband relationship', 'transformation', 'body exchange', 'daughter', 'lawyer', 'dog', 'family', 'turns into animal']","['Tim Allen', 'Kristin Davis', 'Danny Glover']",['Brian Robbins'],50000000,61112916,4.280619,4.5,137,The tale of a workaholic dad-turned-dog who finds that being man's best friend shows him the most important job - being a great dad.,Comedy,11112916,0.22225832,Comedy Family father son relationship parents kids relationship workaholic wife husband relationship transformation body exchange daughter lawyer dog family turns into animal Tim Allen Kristin Davis Danny Glover Brian Robbins
Starsky & Hutch,"['Comedy', 'Crime']","['informant', 'jumping from a rooftop', 'surveillance footage']","['Ben Stiller', 'Owen Wilson', 'Snoop Dogg']",['Todd Phillips'],60000000,170268750,28.848842,5.6,644,"Join uptight David Starsky and laid-back Ken ""Hutch"" Hutchinson as they're paired for the first time as undercover cops. The new partners must overcome their differences to solve an important case with help from street informant Huggy Bear and persuasive criminal Reese Feldman.",Comedy,110268750,1.8378125,Comedy Crime informant jumping from a rooftop surveillance footage Ben Stiller Owen Wilson Snoop Dogg Todd Phillips
Jingle All the Way,"['Family', 'Comedy']","['holiday', 'christmas party', 'santa claus', 'toy', 'puppet', 'christmas', 'turboman', 'navidad']","['Arnold Schwarzenegger', 'Phil Hartman', 'Sinbad']",['Brian Levant'],60000000,129832389,22.501041,5.5,575,"Meet Howard Langston, a salesman for a mattress company is constantly busy at his job, and he also constantly disappoints his son, after he misses his son's karate exposition, his son tells Howard that he wants for Christmas is an action figure of his son's television hero, he tries hard to to make it up to him. Unfortunately for Howard, it is Christmas Eve, and every store is sold out of Turbo Man, now Howard must travel all over town and compete with everybody else to find a Turbo Man action figure.",Family,69832389,1.16387315,Family Comedy holiday christmas party santa claus toy puppet christmas turboman navidad Arnold Schwarzenegger Phil Hartman Sinbad Brian Levant
Hellboy,"['Fantasy', 'Action', 'Science Fiction']","['black magic', 'fistfight', 'cover-up', 'superhero', 'paranormal phenomena', 'narration from grave', 'demon', 'occult', 'combat photography', 'reanimated corpse', 'duringcreditsstinger']","['Ron Perlman', 'Selma Blair', 'Rupert Evans']",['Guillermo del Toro'],66000000,99318987,47.479755,6.5,2225,"In the final days of World War II, the Nazis attempt to use black magic to aid their dying cause. The Allies raid the camp where the ceremony is taking place, but not before a demon - Hellboy - has already been conjured. Joining the Allied forces, Hellboy eventually grows to adulthood, serving the cause of good rather than evil.",Fantasy,33318987,0.5048331363636364,Fantasy Action Science Fiction black magic fistfight cover-up superhero paranormal phenomena narration from grave demon occult combat photography reanimated corpse duringcreditsstinger Ron Perlman Selma Blair Rupert Evans Guillermo del Toro
A Civil Action,['Drama'],"['success', 'advancement', 'right and justice', 'leukemia', 'lawyer', 'business start-up']","['John Travolta', 'Robert Duvall', 'Tony Shalhoub']",['Steven Zaillian'],70000000,56702901,10.147321,6.1,109,"Jan Schlickmann is a cynical lawyer who goes out to ""get rid of"" a case, only to find out it is potentially worth millions. The case becomes his obsession, to the extent that he is willing to give up everything - including his career and his clients' goals, in order to continue the case against all odds.",Drama,-13297099,-0.18995855714285714,Drama success advancement right and justice leukemia lawyer business start-up John Travolta Robert Duvall Tony Shalhoub Steven Zaillian
ParaNorman,"['Family', 'Animation', 'Adventure', 'Comedy']","['medium', 'stop motion', 'curse', 'jock', 'ghost', 'communicating with the dead', 'aftercreditsstinger', 'dealing with the past', 'witch trial', 'child witch', 'empathy', 'strange']","['Kodi Smit-McPhee', 'Tucker Albrizzi', 'Jodelle Ferland']",['Sam Fell'],60000000,107139399,39.539045,6.7,789,"In the town of Blithe Hollow, Norman Babcock is a boy who can speak to the dead, but no one besides his eccentric new friend, Neil, believes his ability is real. One day, Norman's estranged eccentric uncle tells him of an important annual ritual he must take up to protect the town from an curse cast by a witch it condemned centuries ago. Eventually, Norman decides to cooperate, but things don't go according to plan. Now, a magic storm of the witch threatens Blithe Hollow as the accursed dead rise. Together with unexpected new companions, Norman struggles to save his town, only to discover the horrific truth of the curse. With that insight, Norman must resolve the crisis for good as only he can.",Family,47139399,0.78565665,Family Animation Adventure Comedy medium stop motion curse jock ghost communicating with the dead aftercreditsstinger dealing with the past witch trial child witch empathy strange Kodi Smit-McPhee Tucker Albrizzi Jodelle Ferland Sam Fell
The Jackal,"['Action', 'Thriller', 'Adventure', 'Crime']","['fbi', 'cold war', 'hitman']","['Bruce Willis', 'Richard Gere', 'Sidney Poitier']",['Michael Caton-Jones'],60000000,159330280,19.747459,6.1,527,"Hired by a powerful member of the Russian mafia to avenge an FBI sting that left his brother dead, the perfectionist Jackal proves an elusive target for the men charged with the task of bringing him down: a deputy FBI boss and a former IRA terrorist.",Action,99330280,1.6555046666666666,Action Thriller Adventure Crime fbi cold war hitman Bruce Willis Richard Gere Sidney Poitier Michael Caton-Jones
Paycheck,"['Action', 'Adventure', 'Mystery', 'Science Fiction', 'Thriller']","['prophecy', 'engineer', 'scientist', 'millionaire']","['Ben Affleck', 'Aaron Eckhart', 'Uma Thurman']",['John Woo'],60000000,96269812,29.018826,5.9,581,"Michael Jennings is a genius who's hired – and paid handsomely – by high-tech firms to work on highly sensitive projects, after which his short-term memory is erased so he's incapable of breaching security. But at the end of a three-year job, he's told he isn't getting a paycheck and instead receives a mysterious envelope. In it are clues he must piece together to find out why he wasn't paid – and why he's now in hot water.",Action,36269812,0.6044968666666667,Action Adventure Mystery Science Fiction Thriller prophecy engineer scientist millionaire Ben Affleck Aaron Eckhart Uma Thurman John Woo
The Tale of Despereaux,"['Adventure', 'Animation', 'Family']","['loyalty', 'totalitarian regime', 'mouse', 'forgiveness', 'honor', 'unlikely friendship', 'courage', 'chivalry', 'animal lead']","['Matthew Broderick', 'Dustin Hoffman', 'Emma Watson']",['Robert Stevenhagen'],60000000,50877145,16.493576,5.8,258,"Once upon a time... in the far away kingdom of Dor... lived a brave and virtuous mouse with comically oversized ears who dreamt of becoming a knight. Banished from his home for having such lofty ambitions, Despereaux sets off on an amazing adventure with his good-hearted rat friend Roscuro, who leads him, at long last, on a very noble quest to rescue an endangered princess and save an entire kingdom from darkness.",Adventure,-9122855,-0.15204758333333335,Adventure Animation Family loyalty totalitarian regime mouse forgiveness honor unlikely friendship courage chivalry animal lead Matthew Broderick Dustin Hoffman Emma Watson Robert Stevenhagen
Under Siege 2: Dark Territory,"['Action', 'Thriller']","['terrorist', 'pentagon', 'satellite', 'navy seal', 'train']","['Steven Seagal', 'Eric Bogosian', 'Everett McGill']",['Geoff Murphy'],60000000,104324083,13.080725,5.6,210,"A passenger train has been hijacked by an electronics expert and turned into an untraceable command center for a weapons satellite. He has planned to blow up Washington DC and only one man can stop him, former Navy SEAL Casey Ryback.",Action,44324083,0.7387347166666667,Action Thriller terrorist pentagon satellite navy seal train Steven Seagal Eric Bogosian Everett McGill Geoff Murphy
Jack Ryan: Shadow Recruit,"['Action', 'Drama', 'Thriller']","['london england', 'corruption', 'cia', 'terrorist', 'sniper', 'explosive', 'intelligence', 'russia', 'murder', 'conspiracy', 'surveillance', 'agent', 'jack ryan', 'u.s. marine', 'rehab', 'analyst']","['Chris Pine', 'Keira Knightley', 'Kevin Costner']",['Kenneth Branagh'],60000000,50549107,42.538258,5.9,1173,"Jack Ryan, as a young covert CIA analyst, uncovers a Russian plot to crash the U.S. economy with a terrorist attack.",Action,-9450893,-0.15751488333333333,Action Drama Thriller london england corruption cia terrorist sniper explosive intelligence russia murder conspiracy surveillance agent jack ryan u.s. marine rehab analyst Chris Pine Keira Knightley Kevin Costner Kenneth Branagh
Joy,"['Drama', 'Comedy']","['factory', 'inventor', 'strong woman', 'biography', 'based on true story', 'stolen patent']","['Jennifer Lawrence', 'Bradley Cooper', 'Robert De Niro']",['David O. Russell'],60000000,101134059,29.876507,6.4,1581,A story based on the life of a struggling Long Island single mom who became one of the country's most successful entrepreneurs.,Drama,41134059,0.68556765,Drama Comedy factory inventor strong woman biography based on true story stolen patent Jennifer Lawrence Bradley Cooper Robert De Niro David O. Russell
London Has Fallen,"['Action', 'Crime', 'Thriller']","['london england', 'terrorist', 'terrorist attack']","['Gerard Butler', 'Aaron Eckhart', 'Morgan Freeman']",['Babak Najafi'],60000000,205754447,61.849521,5.8,1621,"In London for the Prime Minister's funeral, Mike Banning discovers a plot to assassinate all the attending world leaders.",Action,145754447,2.4292407833333334,Action Crime Thriller london england terrorist terrorist attack Gerard Butler Aaron Eckhart Morgan Freeman Babak Najafi
Alien: Resurrection,"['Science Fiction', 'Horror', 'Action']","['android', 'mercenary', 'dystopia', 'sequel', 'alien', 'betrayal', 'impalement', 'cloning', 'scientist', 'flamethrower', 'disembowelment', 'smuggler', 'gene manipulation', 'man in wheelchair', 'breeding', 'genetic engineering', 'regeneration', 'xenomorph', 'alien queen', 'explosive decompression', 'swimming underwater']","['Sigourney Weaver', 'Winona Ryder', 'Brad Dourif']",['Jean-Pierre Jeunet'],70000000,162000000,37.44963,5.9,1365,"Two hundred years after Lt. Ripley died, a group of scientists clone her, hoping to breed the ultimate weapon. But the new Ripley is full of surprises … as are the new aliens. Ripley must team with a band of smugglers to keep the creatures from reaching Earth.",Science Fiction,92000000,1.3142857142857143,Science Fiction Horror Action android mercenary dystopia sequel alien betrayal impalement cloning scientist flamethrower disembowelment smuggler gene manipulation man in wheelchair breeding genetic engineering regeneration xenomorph alien queen explosive decompression swimming underwater Sigourney Weaver Winona Ryder Brad Dourif Jean-Pierre Jeunet
Shooter,"['Action', 'Drama', 'Mystery', 'Thriller', 'Crime']","['corruption', 'sniper', 'senator', 'conspiracy of murder', 'childlessness', 'rifle', 'sniper rifle', 'fbi agent']","['Mark Wahlberg', 'Michael Peña', 'Danny Glover']",['Antoine Fuqua'],61000000,95696996,37.378081,6.9,1462,"A marksman living in exile is coaxed back into action after learning of a plot to kill the president. Ultimately double-crossed and framed for the attempt, he goes on the run to track the real killer and find out who exactly set him up, and why.",Action,34696996,0.5688032131147541,Action Drama Mystery Thriller Crime corruption sniper senator conspiracy of murder childlessness rifle sniper rifle fbi agent Mark Wahlberg Michael Peña Danny Glover Antoine Fuqua
The Boxtrolls,"['Animation', 'Comedy', 'Family', 'Fantasy']","['based on novel', 'stop motion', 'father daughter relationship', 'unlikely friendship', 'duringcreditsstinger']","['Ben Kingsley', 'Isaac Hempstead-Wright', 'Elle Fanning']",['Anthony Stacchi'],60000000,108255770,30.656345,6.6,668,"An orphaned boy raised by underground creatures called Boxtrolls comes up from the sewers and out of his box to save his family and the town from the evil exterminator, Archibald Snatcher.",Animation,48255770,0.8042628333333334,Animation Comedy Family Fantasy based on novel stop motion father daughter relationship unlikely friendship duringcreditsstinger Ben Kingsley Isaac Hempstead-Wright Elle Fanning Anthony Stacchi
